country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","04-09-2025 21:00:00",25.599486,85.113666,CO,8,27,12
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","04-09-2025 21:00:00",22.118125,83.140608,SO2,5,23,9
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","04-09-2025 21:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","04-09-2025 21:00:00",22.126650,83.483212,SO2,1,7,3
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","04-09-2025 21:00:00",22.1910172,83.5197009,NO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","04-09-2025 21:00:00",22.1910172,83.5197009,SO2,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","04-09-2025 21:00:00",25.366336,87.117468,PM2.5,12,103,27
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","04-09-2025 21:00:00",25.366336,87.117468,PM10,29,100,42
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","04-09-2025 21:00:00",25.03280,85.41948,PM2.5,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","04-09-2025 21:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","04-09-2025 21:00:00",25.03280,85.41948,NH3,6,7,7
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","04-09-2025 21:00:00",25.03280,85.41948,SO2,19,23,21
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","04-09-2025 21:00:00",21.194815,81.314770,PM10,9,25,14
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","04-09-2025 21:00:00",21.194815,81.314770,OZONE,12,33,23
